stakeholder_id,name,type,county,primary_tract_geoid,contact_email,priority_level,last_contact_date,notes
STK-001,East Oakland Neighbors Coalition,community_org,Alameda,06001401000,east.oakland.neighbors.coaliti@example.org,high,2025-10-19,
STK-002,Fruitvale Unity Council,community_org,Alameda,06001401600,fruitvale.unity.council@example.org,high,2026-03-03,
STK-003,West Oakland Environmental Indicators Project,community_org,Alameda,06001401500,west.oakland.environmental.ind@example.org,high,2026-03-25,
STK-004,Richmond Community Foundation,community_org,Contra Costa,06013360000,richmond.community.foundation@example.org,high,2026-01-20,
STK-005,Hayward Area Recreation District,community_org,Alameda,06001433000,hayward.area.recreation.distri@example.org,medium,2026-01-28,
STK-006,Pittsburg Community Action Council,community_org,Contra Costa,06013314000,pittsburg.community.action.cou@example.org,high,2026-02-02,
STK-007,SF Tenderloin Community Benefit District,community_org,San Francisco,06075012400,sf.tenderloin.community.benefi@example.org,high,2026-02-24,
STK-008,Bayview Hunters Point Community Advocates,community_org,San Francisco,06075023100,bayview.hunters.point.communit@example.org,high,2026-03-05,
STK-009,TransForm (Regional Transit Advocacy),advocacy_group,Alameda,06001420100,transform.regional.transit.adv@example.org,high,2025-10-09,
STK-010,Bike East Bay,advocacy_group,Alameda,06001420100,bike.east.bay@example.org,medium,2025-11-12,
STK-011,SPUR (SF Bay Area Planning & Urban Research),advocacy_group,San Francisco,06075010100,spur.sf.bay.area.planning..urb@example.org,medium,2026-03-09,
STK-012,Antioch Transit Riders Alliance,advocacy_group,Contra Costa,06013315000,antioch.transit.riders.allianc@example.org,high,2025-10-31,
STK-013,Oakland City Council — District 5,city_council,Alameda,06001401000,oakland.city.council..district@example.org,high,2025-12-13,
STK-014,Oakland City Council — District 7,city_council,Alameda,06001402000,oakland.city.council..district@example.org,high,2026-03-23,
STK-015,Richmond City Council,city_council,Contra Costa,06013360000,richmond.city.council@example.org,medium,2026-03-24,
STK-016,Hayward City Council — Transportation Cmte,city_council,Alameda,06001433000,hayward.city.council..transpor@example.org,medium,2026-03-08,
STK-017,Pittsburg City Council,city_council,Contra Costa,06013314000,pittsburg.city.council@example.org,medium,2026-02-04,
STK-018,Antioch City Council,city_council,Contra Costa,06013315000,antioch.city.council@example.org,medium,2026-01-31,
STK-019,AC Transit — Planning Dept,transit_agency,Alameda,06001420100,ac.transit..planning.dept@example.org,high,2025-11-22,
STK-020,BART — Community Affairs,transit_agency,Alameda,06001420100,bart..community.affairs@example.org,high,2025-10-28,
STK-021,SFMTA — Equity Office,transit_agency,San Francisco,06075010100,sfmta..equity.office@example.org,high,2026-03-25,
STK-022,Tri Delta Transit (East CCC),transit_agency,Contra Costa,06013315000,tri.delta.transit.east.ccc@example.org,medium,2025-11-08,
STK-023,Maria Gonzalez,resident,Alameda,06001401700,maria.gonzalez@example.org,low,2026-02-09,
STK-024,James Washington,resident,Alameda,06001402100,james.washington@example.org,low,2025-10-16,
STK-025,Li Wei Chen,resident,San Francisco,06075012400,li.wei.chen@example.org,low,2025-10-03,
STK-026,Angela Reyes,resident,Contra Costa,06013361000,angela.reyes@example.org,low,2025-11-12,
